stage1,stage2,dataset,sensitivity,sensitivity_ci_lo,sensitivity_ci_hi,specificity,specificity_ci_lo,specificity_ci_hi,ppv,npv,f1,mcc,fn_per_1000,tp,fp,tn,fn
actionhead,claude_opus_4_7_safety,realworld_n2000,0.1758,0.1253,0.241,0.945,0.9336,0.9545,0.2231,0.9273,0.1966,0.1347,68.0,29,101,1734,136
actionhead,constellation,realworld_n2000,0.0485,0.0248,0.0927,0.9809,0.9736,0.9863,0.186,0.9198,0.0769,0.0558,78.5,8,35,1800,157
actionhead,cql_reward_opt,realworld_n2000,0.4121,0.3398,0.4884,0.8087,0.7901,0.8261,0.1623,0.9386,0.2329,0.1493,48.5,68,351,1484,97
actionhead,cql_sens_opt,realworld_n2000,0.0242,0.0095,0.0607,0.9967,0.9929,0.9985,0.4,0.9191,0.0457,0.0818,80.5,4,6,1829,161
actionhead,gemini_3_1_pro_safety,realworld_n2000,0.0121,0.0033,0.0431,0.9978,0.9944,0.9992,0.3333,0.9183,0.0234,0.05,81.5,2,4,1831,163
actionhead,guardrails,realworld_n2000,0.0242,0.0095,0.0607,0.9935,0.9886,0.9963,0.25,0.9189,0.0442,0.0547,80.5,4,12,1823,161
actionhead,logreg_tfidf,realworld_n2000,0.4182,0.3456,0.4945,0.8093,0.7906,0.8266,0.1647,0.9393,0.2363,0.1538,48.0,69,350,1485,96
actionhead,xgboost_sbert,realworld_n2000,0.2545,0.1942,0.3261,0.8877,0.8725,0.9014,0.1694,0.9298,0.2034,0.1188,61.5,42,206,1629,123
claude_opus_4_7_safety,actionhead,realworld_n2000,0.1758,0.1253,0.241,0.945,0.9336,0.9545,0.2231,0.9273,0.1966,0.1347,68.0,29,101,1734,136
claude_opus_4_7_safety,constellation,realworld_n2000,0.0424,0.0207,0.085,0.9864,0.98,0.9908,0.2188,0.9197,0.0711,0.0631,79.0,7,25,1810,158
claude_opus_4_7_safety,cql_reward_opt,realworld_n2000,0.297,0.2325,0.3707,0.8736,0.8576,0.888,0.1744,0.9325,0.2197,0.135,58.0,49,232,1603,116
claude_opus_4_7_safety,cql_sens_opt,realworld_n2000,0.0182,0.0062,0.0521,0.9984,0.9952,0.9994,0.5,0.9188,0.0351,0.0832,81.0,3,3,1832,162
claude_opus_4_7_safety,gemini_3_1_pro_safety,realworld_n2000,0.0182,0.0062,0.0521,0.9962,0.9921,0.9982,0.3,0.9186,0.0343,0.056,81.0,3,7,1828,162
claude_opus_4_7_safety,guardrails,realworld_n2000,0.0303,0.013,0.069,0.9891,0.9832,0.9929,0.2,0.919,0.0526,0.0481,80.0,5,20,1815,160
claude_opus_4_7_safety,logreg_tfidf,realworld_n2000,0.2909,0.227,0.3643,0.8747,0.8587,0.889,0.1727,0.9321,0.2167,0.1317,58.5,48,230,1605,117
claude_opus_4_7_safety,xgboost_sbert,realworld_n2000,0.1576,0.1099,0.2209,0.9439,0.9324,0.9535,0.2016,0.9257,0.1769,0.1136,69.5,26,103,1732,139
constellation,actionhead,realworld_n2000,0.0485,0.0248,0.0927,0.9809,0.9736,0.9863,0.186,0.9198,0.0769,0.0558,78.5,8,35,1800,157
constellation,claude_opus_4_7_safety,realworld_n2000,0.0424,0.0207,0.085,0.9864,0.98,0.9908,0.2188,0.9197,0.0711,0.0631,79.0,7,25,1810,158
constellation,cql_reward_opt,realworld_n2000,0.0667,0.0376,0.1154,0.9722,0.9636,0.9788,0.1774,0.9205,0.0969,0.0617,77.0,11,51,1784,154
constellation,cql_sens_opt,realworld_n2000,0.0242,0.0095,0.0607,0.9967,0.9929,0.9985,0.4,0.9191,0.0457,0.0818,80.5,4,6,1829,161
constellation,gemini_3_1_pro_safety,realworld_n2000,0.0121,0.0033,0.0431,0.9995,0.9969,0.9999,0.6667,0.9184,0.0238,0.0823,81.5,2,1,1834,163
constellation,guardrails,realworld_n2000,0.0121,0.0033,0.0431,0.9995,0.9969,0.9999,0.6667,0.9184,0.0238,0.0823,81.5,2,1,1834,163
constellation,logreg_tfidf,realworld_n2000,0.0667,0.0376,0.1154,0.9722,0.9636,0.9788,0.1774,0.9205,0.0969,0.0617,77.0,11,51,1784,154
constellation,xgboost_sbert,realworld_n2000,0.0667,0.0376,0.1154,0.9815,0.9742,0.9867,0.2444,0.9212,0.1048,0.0893,77.0,11,34,1801,154
cql_reward_opt,actionhead,realworld_n2000,0.4121,0.3398,0.4884,0.8087,0.7901,0.8261,0.1623,0.9386,0.2329,0.1493,48.5,68,351,1484,97
cql_reward_opt,claude_opus_4_7_safety,realworld_n2000,0.297,0.2325,0.3707,0.8736,0.8576,0.888,0.1744,0.9325,0.2197,0.135,58.0,49,232,1603,116
cql_reward_opt,constellation,realworld_n2000,0.0667,0.0376,0.1154,0.9722,0.9636,0.9788,0.1774,0.9205,0.0969,0.0617,77.0,11,51,1784,154
cql_reward_opt,cql_sens_opt,realworld_n2000,0.0242,0.0095,0.0607,0.9967,0.9929,0.9985,0.4,0.9191,0.0457,0.0818,80.5,4,6,1829,161
cql_reward_opt,gemini_3_1_pro_safety,realworld_n2000,0.0182,0.0062,0.0521,0.9946,0.99,0.997,0.2308,0.9185,0.0337,0.0436,81.0,3,10,1825,162
cql_reward_opt,guardrails,realworld_n2000,0.0606,0.0332,0.108,0.9831,0.9761,0.9881,0.2439,0.9209,0.0971,0.0849,77.5,10,31,1804,155
cql_reward_opt,logreg_tfidf,realworld_n2000,0.9152,0.8626,0.9488,0.1673,0.1509,0.1851,0.0899,0.9564,0.1638,0.0618,7.0,151,1528,307,14
cql_reward_opt,xgboost_sbert,realworld_n2000,0.4182,0.3456,0.4945,0.7362,0.7156,0.7559,0.1248,0.9337,0.1922,0.095,48.0,69,484,1351,96
cql_sens_opt,actionhead,realworld_n2000,0.0242,0.0095,0.0607,0.9967,0.9929,0.9985,0.4,0.9191,0.0457,0.0818,80.5,4,6,1829,161
