stage1,stage2,dataset,sensitivity,sensitivity_ci_lo,sensitivity_ci_hi,specificity,specificity_ci_lo,specificity_ci_hi,ppv,npv,f1,mcc,fn_per_1000,tp,fp,tn,fn
logreg_tfidf,cql_reward_opt,realworld_n2000,0.9152,0.8626,0.9488,0.1673,0.1509,0.1851,0.0899,0.9564,0.1638,0.0618,7.0,151,1528,307,14
cql_reward_opt,logreg_tfidf,realworld_n2000,0.9152,0.8626,0.9488,0.1673,0.1509,0.1851,0.0899,0.9564,0.1638,0.0618,7.0,151,1528,307,14
actionhead,logreg_tfidf,realworld_n2000,0.4182,0.3456,0.4945,0.8093,0.7906,0.8266,0.1647,0.9393,0.2363,0.1538,48.0,69,350,1485,96
logreg_tfidf,actionhead,realworld_n2000,0.4182,0.3456,0.4945,0.8093,0.7906,0.8266,0.1647,0.9393,0.2363,0.1538,48.0,69,350,1485,96
claude_opus_4_7_safety,cql_reward_opt,realworld_n2000,0.297,0.2325,0.3707,0.8736,0.8576,0.888,0.1744,0.9325,0.2197,0.135,58.0,49,232,1603,116
cql_reward_opt,claude_opus_4_7_safety,realworld_n2000,0.297,0.2325,0.3707,0.8736,0.8576,0.888,0.1744,0.9325,0.2197,0.135,58.0,49,232,1603,116
claude_opus_4_7_safety,logreg_tfidf,realworld_n2000,0.2909,0.227,0.3643,0.8747,0.8587,0.889,0.1727,0.9321,0.2167,0.1317,58.5,48,230,1605,117
logreg_tfidf,claude_opus_4_7_safety,realworld_n2000,0.2909,0.227,0.3643,0.8747,0.8587,0.889,0.1727,0.9321,0.2167,0.1317,58.5,48,230,1605,117
actionhead,xgboost_sbert,realworld_n2000,0.2545,0.1942,0.3261,0.8877,0.8725,0.9014,0.1694,0.9298,0.2034,0.1188,61.5,42,206,1629,123
xgboost_sbert,actionhead,realworld_n2000,0.2545,0.1942,0.3261,0.8877,0.8725,0.9014,0.1694,0.9298,0.2034,0.1188,61.5,42,206,1629,123
actionhead,claude_opus_4_7_safety,realworld_n2000,0.1758,0.1253,0.241,0.945,0.9336,0.9545,0.2231,0.9273,0.1966,0.1347,68.0,29,101,1734,136
claude_opus_4_7_safety,actionhead,realworld_n2000,0.1758,0.1253,0.241,0.945,0.9336,0.9545,0.2231,0.9273,0.1966,0.1347,68.0,29,101,1734,136
constellation,xgboost_sbert,realworld_n2000,0.0667,0.0376,0.1154,0.9815,0.9742,0.9867,0.2444,0.9212,0.1048,0.0893,77.0,11,34,1801,154
xgboost_sbert,constellation,realworld_n2000,0.0667,0.0376,0.1154,0.9815,0.9742,0.9867,0.2444,0.9212,0.1048,0.0893,77.0,11,34,1801,154
cql_reward_opt,guardrails,realworld_n2000,0.0606,0.0332,0.108,0.9831,0.9761,0.9881,0.2439,0.9209,0.0971,0.0849,77.5,10,31,1804,155
guardrails,cql_reward_opt,realworld_n2000,0.0606,0.0332,0.108,0.9831,0.9761,0.9881,0.2439,0.9209,0.0971,0.0849,77.5,10,31,1804,155
guardrails,xgboost_sbert,realworld_n2000,0.0424,0.0207,0.085,0.9918,0.9866,0.995,0.3182,0.9201,0.0749,0.0903,79.0,7,15,1820,158
xgboost_sbert,guardrails,realworld_n2000,0.0424,0.0207,0.085,0.9918,0.9866,0.995,0.3182,0.9201,0.0749,0.0903,79.0,7,15,1820,158
cql_sens_opt,xgboost_sbert,realworld_n2000,0.0242,0.0095,0.0607,0.9978,0.9944,0.9992,0.5,0.9192,0.0462,0.0962,80.5,4,4,1831,161
xgboost_sbert,cql_sens_opt,realworld_n2000,0.0242,0.0095,0.0607,0.9978,0.9944,0.9992,0.5,0.9192,0.0462,0.0962,80.5,4,4,1831,161
gemini_3_1_pro_safety,xgboost_sbert,realworld_n2000,0.0182,0.0062,0.0521,0.9989,0.996,0.9997,0.6,0.9188,0.0353,0.0942,81.0,3,2,1833,162
xgboost_sbert,gemini_3_1_pro_safety,realworld_n2000,0.0182,0.0062,0.0521,0.9989,0.996,0.9997,0.6,0.9188,0.0353,0.0942,81.0,3,2,1833,162
guardrails,constellation,realworld_n2000,0.0121,0.0033,0.0431,0.9995,0.9969,0.9999,0.6667,0.9184,0.0238,0.0823,81.5,2,1,1834,163
constellation,guardrails,realworld_n2000,0.0121,0.0033,0.0431,0.9995,0.9969,0.9999,0.6667,0.9184,0.0238,0.0823,81.5,2,1,1834,163
constellation,gemini_3_1_pro_safety,realworld_n2000,0.0121,0.0033,0.0431,0.9995,0.9969,0.9999,0.6667,0.9184,0.0238,0.0823,81.5,2,1,1834,163
gemini_3_1_pro_safety,constellation,realworld_n2000,0.0121,0.0033,0.0431,0.9995,0.9969,0.9999,0.6667,0.9184,0.0238,0.0823,81.5,2,1,1834,163
guardrails,cql_sens_opt,realworld_n2000,0.0061,0.0011,0.0335,1.0,0.9979,1.0,1.0,0.918,0.012,0.0746,82.0,1,0,1835,164
gemini_3_1_pro_safety,cql_sens_opt,realworld_n2000,0.0061,0.0011,0.0335,1.0,0.9979,1.0,1.0,0.918,0.012,0.0746,82.0,1,0,1835,164
cql_sens_opt,guardrails,realworld_n2000,0.0061,0.0011,0.0335,1.0,0.9979,1.0,1.0,0.918,0.012,0.0746,82.0,1,0,1835,164
cql_sens_opt,gemini_3_1_pro_safety,realworld_n2000,0.0061,0.0011,0.0335,1.0,0.9979,1.0,1.0,0.918,0.012,0.0746,82.0,1,0,1835,164
