architecture,hazard_category,n_hazards,tp,fn,sensitivity
actionhead,behavioral_other,12,8,4,0.6667
actionhead,behavioral_suicidality,7,6,1,0.8571
actionhead,environmental_housing_safety,12,7,5,0.5833
actionhead,falls_mobility,7,5,2,0.7143
actionhead,med_safety,9,3,6,0.3333
actionhead,other_hazard,112,36,76,0.3214
actionhead,substance_use,4,3,1,0.75
claude_opus_4_7_safety,behavioral_other,12,6,6,0.5
claude_opus_4_7_safety,behavioral_suicidality,7,5,2,0.7143
claude_opus_4_7_safety,environmental_housing_safety,12,6,6,0.5
claude_opus_4_7_safety,falls_mobility,7,4,3,0.5714
claude_opus_4_7_safety,med_safety,9,3,6,0.3333
claude_opus_4_7_safety,other_hazard,112,21,91,0.1875
claude_opus_4_7_safety,substance_use,4,3,1,0.75
constellation,behavioral_other,12,0,12,0.0
constellation,behavioral_suicidality,7,2,5,0.2857
constellation,environmental_housing_safety,12,0,12,0.0
constellation,falls_mobility,7,0,7,0.0
constellation,med_safety,9,1,8,0.1111
constellation,other_hazard,112,8,104,0.0714
constellation,substance_use,4,0,4,0.0
cql_reward_opt,behavioral_other,12,12,0,1.0
cql_reward_opt,behavioral_suicidality,7,7,0,1.0
cql_reward_opt,environmental_housing_safety,12,12,0,1.0
cql_reward_opt,falls_mobility,7,7,0,1.0
cql_reward_opt,med_safety,9,9,0,1.0
cql_reward_opt,other_hazard,112,102,10,0.9107
cql_reward_opt,substance_use,4,3,1,0.75
cql_sens_opt,behavioral_other,12,0,12,0.0
cql_sens_opt,behavioral_suicidality,7,2,5,0.2857
cql_sens_opt,environmental_housing_safety,12,0,12,0.0
cql_sens_opt,falls_mobility,7,0,7,0.0
cql_sens_opt,med_safety,9,0,9,0.0
cql_sens_opt,other_hazard,112,2,110,0.0179
cql_sens_opt,substance_use,4,0,4,0.0
gemini_3_1_pro_safety,behavioral_other,12,0,12,0.0
gemini_3_1_pro_safety,behavioral_suicidality,7,1,6,0.1429
gemini_3_1_pro_safety,environmental_housing_safety,12,0,12,0.0
gemini_3_1_pro_safety,falls_mobility,7,0,7,0.0
gemini_3_1_pro_safety,med_safety,9,0,9,0.0
gemini_3_1_pro_safety,other_hazard,112,2,110,0.0179
gemini_3_1_pro_safety,substance_use,4,0,4,0.0
guardrails,behavioral_other,12,0,12,0.0
guardrails,behavioral_suicidality,7,0,7,0.0
guardrails,environmental_housing_safety,12,0,12,0.0
guardrails,falls_mobility,7,1,6,0.1429
guardrails,med_safety,9,2,7,0.2222
guardrails,other_hazard,112,6,106,0.0536
guardrails,substance_use,4,1,3,0.25
logreg_tfidf,behavioral_other,12,12,0,1.0
logreg_tfidf,behavioral_suicidality,7,7,0,1.0
logreg_tfidf,environmental_housing_safety,12,10,2,0.8333
logreg_tfidf,falls_mobility,7,7,0,1.0
logreg_tfidf,med_safety,9,9,0,1.0
logreg_tfidf,other_hazard,112,109,3,0.9732
logreg_tfidf,substance_use,4,4,0,1.0
xgboost_sbert,behavioral_other,12,5,7,0.4167
xgboost_sbert,behavioral_suicidality,7,4,3,0.5714
xgboost_sbert,environmental_housing_safety,12,9,3,0.75
xgboost_sbert,falls_mobility,7,4,3,0.5714
xgboost_sbert,med_safety,9,8,1,0.8889
xgboost_sbert,other_hazard,112,38,74,0.3393
xgboost_sbert,substance_use,4,1,3,0.25
