tp,fp,tn,fn,sensitivity,specificity,ppv,f1,mcc,clinical_grade,rule,k,threshold
163,1814,21,2,0.9879,0.0114,0.0824,0.1522,-0.0017,False,hard_1_of_9,1.0,
155,1592,243,10,0.9394,0.1324,0.0887,0.1621,0.0594,False,hard_2_of_9,2.0,
110,717,1118,55,0.6667,0.6093,0.133,0.2218,0.1542,False,hard_3_of_9,3.0,
61,301,1534,104,0.3697,0.836,0.1685,0.2315,0.147,False,hard_4_of_9,4.0,
27,94,1741,138,0.1636,0.9488,0.2231,0.1888,0.1297,False,hard_5_of_9,5.0,
10,24,1811,155,0.0606,0.9869,0.2941,0.1005,0.1012,False,hard_6_of_9,6.0,
4,3,1832,161,0.0242,0.9984,0.5714,0.0465,0.1053,False,hard_7_of_9,7.0,
1,0,1835,164,0.0061,1.0,1.0,0.012,0.0746,False,hard_8_of_9,8.0,
0,0,1835,165,0.0,1.0,,0.0,,False,hard_9_of_9,9.0,
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.0
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.01
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.02
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.03
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.04
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.05
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.06
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.07
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.08
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.09
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.1
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.11
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.12
165,1835,0,0,1.0,0.0,0.0825,0.1524,,False,soft_unweighted,,0.13
