metric,value
total hazards in test set,165.0
hazards caught by ZERO architectures (irreducibly missed),2.0
hazards caught by AT LEAST ONE architecture,163.0
hazards caught by MAJORITY (>5/10) architectures,27.0
hazards caught by ALL architectures,0.0
median architectures correctly flagging each hazard,3.0
total benigns in test set,1835.0
benigns flagged by ZERO architectures (clean),21.0
benigns flagged by AT LEAST ONE architecture (any false positive),1814.0
benigns flagged by MAJORITY (>5/10) architectures (strong false positives),94.0
benigns flagged by ALL architectures (irreducible false positives),0.0
