arch_a,arch_b,chi2,p_raw,b,c,sig_hochberg
actionhead,constellation,51.753846153846155,6.291633880550762e-13,62,3,True
actionhead,cql_reward_opt,78.2840909090909,0.0,2,86,True
actionhead,cql_sens_opt,64.01515151515152,1.2212453270876722e-15,66,0,True
actionhead,guardrails,48.34722222222222,3.5704772471945034e-12,66,6,True
actionhead,logreg_tfidf,86.09782608695652,0.0,1,91,True
actionhead,xgboost_sbert,0.017857142857142856,0.8936946693232326,28,28,False
constellation,cql_reward_opt,141.006993006993,0.0,0,143,True
constellation,cql_sens_opt,5.142857142857143,0.023342202012890834,7,0,False
constellation,guardrails,0.0,1.0,9,8,False
constellation,logreg_tfidf,147.00671140939596,0.0,0,149,True
constellation,xgboost_sbert,57.016949152542374,4.318767565791859e-14,0,59,True
cql_reward_opt,cql_sens_opt,148.00666666666666,0.0,150,0,True
cql_reward_opt,guardrails,142.00694444444446,0.0,144,0,True
cql_reward_opt,logreg_tfidf,2.0833333333333335,0.14891467317876161,3,9,False
cql_reward_opt,xgboost_sbert,80.1046511627907,0.0,85,1,True
cql_sens_opt,guardrails,2.0833333333333335,0.14891467317876161,3,9,False
cql_sens_opt,logreg_tfidf,154.00641025641025,0.0,0,156,True
cql_sens_opt,xgboost_sbert,64.01515151515152,1.2212453270876722e-15,0,66,True
guardrails,logreg_tfidf,148.00666666666666,0.0,0,150,True
guardrails,xgboost_sbert,52.74242424242424,3.802513859341161e-13,3,63,True
logreg_tfidf,xgboost_sbert,86.09782608695652,0.0,91,1,True
